x,y,z
-0.4968,-1.4419,0.4004
-0.3586,-1.1841,0.2908
-0.3333,-1.2332,0.196
-0.3574,-1.52,0.0417
-0.3164,-1.4041,-0.0486
-0.228,-1.0476,-0.0771
-0.1592,-0.7649,-0.105
-0.0576,-0.6267,-0.1233
-0.0813,-0.6465,-0.0046
-0.1721,-0.8499,-0.022
-0.2649,-1.1355,0.0242
-0.3994,-1.3726,0.1804
-0.4954,-1.2808,0.448
-0.585,-1.2844,0.6504
-0.4485,-1.269,0.5481
-0.4099,-1.1726,0.5398
-0.5864,-0.8752,0.4683
-0.5273,-0.5952,0.4629
-0.5144,-0.5371,0.4482
-0.5103,-0.7329,0.4099
-0.5913,-1.1865,0.4124
-0.4373,-1.3865,0.3521
-0.3293,-1.344,0.2605
-0.2903,-1.5955,0.2043
-0.3225,-1.6694,0.0386
-0.3057,-1.3086,0.0435
-0.2537,-0.7988,0.0315
-0.1848,-0.5642,-0.0273
-0.0754,-0.5459,-0.0356
-0.168,-0.6089,0.0083
-0.2175,-0.7302,0.0283
-0.3228,-1.1125,0.0925
-0.3733,-1.2498,0.1943
-0.4163,-1.2527,0.395
-0.5359,-1.4485,0.5293
-0.5493,-1.3782,0.3845
-0.4941,-1.1404,0.4888
-0.5825,-0.8186,0.4768
-0.6616,-0.6216,0.4102
-0.6348,-0.6135,0.4819
-0.6677,-0.8081,0.4724
-0.6768,-1.2083,0.4922
-0.4617,-1.4072,0.3738
-0.386,-1.2771,0.28
-0.3286,-1.3479,0.1863
-0.3037,-1.6316,0.0212
-0.2629,-1.3862,-0.0359
-0.1909,-1.0129,-0.095
-0.1165,-0.7117,-0.1467
-0.0842,-0.5977,-0.0903
-0.165,-0.604,0.0063
-0.22,-0.7334,0.0085
-0.3037,-1.0574,0.0742
-0.3721,-1.2397,0.2109
-0.5042,-1.2446,0.4758
-0.4856,-1.5266,0.7266
-0.4019,-1.376,0.6047
-0.2039,-1.0708,0.5894
-0.4492,-0.8064,0.5203
-0.5171,-0.6472,0.5356
-0.4641,-0.6868,0.6313
-0.491,-0.9265,0.5925
-0.5066,-1.3545,0.5022
-0.3804,-1.24,0.3164
-0.3032,-1.2515,0.249
-0.2566,-1.5276,0.1282
-0.3296,-1.6711,-0.0068
-0.3005,-1.2495,-0.0791
-0.2124,-0.917,-0.1472
-0.1016,-0.6506,-0.1367
-0.0981,-0.6006,-0.0388
-0.156,-0.655,0.009
-0.2419,-0.834,0.073
-0.2986,-1.1685,0.1824
-0.4175,-1.3271,0.2712
-0.5652,-1.2666,0.4392
-0.521,-1.2683,0.6699
-0.4248,-1.2556,0.5095
-0.2949,-1.0854,0.4973
-0.4277,-0.8025,0.4216
-0.5156,-0.6499,0.3555
-0.4932,-0.7053,0.4377
-0.5127,-0.804,0.4685
-0.4917,-1.1541,0.4575
-0.4199,-1.4031,0.2683
-0.3176,-1.0972,0.0889
-0.1675,-1.125,0.0996
-0.156,-1.0732,0.0366
-0.2634,-0.9858,-0.0481
-0.2854,-0.8931,-0.116
-0.2581,-0.8352,-0.0847
