x,y,z
-0.4219,-0.8491,0.4497
-0.4849,-0.8977,0.3699
-0.4727,-1.1914,0.3677
-0.4492,-1.3574,0.3181
-0.4121,-1.1899,0.2078
-0.2502,-1.4141,0.0747
-0.2773,-1.2605,-0.0168
-0.2454,-1.0225,-0.0288
-0.2273,-0.7478,-0.093
-0.1755,-0.793,-0.1138
-0.127,-0.8169,-0.0813
-0.1738,-0.8865,-0.0459
-0.2861,-0.9846,0.0271
-0.3528,-1.1221,0.1475
-0.3704,-1.2959,0.2029
-0.3958,-1.2788,0.1829
-0.4443,-0.9924,0.3772
-0.5542,-1.0461,0.5967
-0.5642,-1.022,0.5115
-0.4094,-0.9187,0.4868
-0.4817,-0.7551,0.4912
-0.5127,-0.7031,0.4387
-0.4207,-0.8218,0.4534
-0.4187,-0.9216,0.3696
-0.4412,-0.9446,0.3125
-0.4097,-1.146,0.2698
-0.3687,-1.2629,0.2224
-0.3655,-1.1196,0.1006
-0.2598,-1.2769,0.0059
-0.2546,-1.1746,-0.0615
-0.2554,-0.8967,-0.0601
-0.2029,-0.6873,-0.0664
-0.2017,-0.7451,-0.0796
-0.2102,-0.8765,-0.0391
-0.2549,-0.9883,-0.0022
-0.3333,-1.1418,0.114
-0.3396,-1.2083,0.1011
-0.3923,-1.2866,0.1191
-0.4482,-0.9438,0.3672
-0.5222,-0.9626,0.5315
-0.4072,-1.0061,0.4512
-0.3428,-0.9141,0.4507
-0.4817,-0.7583,0.4851
-0.5432,-0.7219,0.5032
-0.488,-0.8347,0.4736
-0.4324,-0.9255,0.4226
-0.4131,-1.0854,0.3901
-0.4446,-1.3284,0.2717
-0.3425,-1.1487,0.1257
-0.252,-1.2234,-0.0032
-0.1807,-1.2698,-0.0972
-0.188,-1.073,-0.1748
-0.1829,-0.8191,-0.1658
-0.1479,-0.7373,-0.1052
-0.229,-0.8379,-0.0505
-0.3179,-0.9463,0.0183
-0.4417,-1.0273,0.1348
-0.5181,-1.1555,0.2122
-0.6553,-1.1267,0.2434
-0.7029,-0.7539,0.4204
-0.6685,-0.7065,0.5398
-0.5132,-0.9314,0.5024
-0.3608,-0.9883,0.4241
-0.3513,-0.946,0.3577
-0.3713,-0.9319,0.2866
-0.3284,-0.9133,0.2527
-0.2583,-0.9048,0.2402
-0.2344,-0.8721,0.197
-0.271,-0.845,0.2109
-0.2874,-0.8594,0.2253
-0.3333,-0.8989,0.2734
-0.3484,-0.9019,0.2825
-0.3525,-0.9275,0.2864
-0.3691,-0.8879,0.3149
-0.3679,-0.9197,0.3152
-0.3682,-0.9275,0.3098
-0.3455,-0.9346,0.325
-0.3311,-0.9373,0.3013
-0.3262,-0.9263,0.2725
-0.3196,-0.9216,0.2686
-0.3137,-0.9048,0.2507
-0.3018,-0.9229,0.2595
-0.3149,-0.9238,0.2649
-0.3308,-0.9133,0.2715
-0.3408,-0.9065,0.272
-0.3406,-0.9158,0.2817
-0.3418,-0.9067,0.2747
-0.3555,-0.9121,0.2788
-0.364,-0.9138,0.2827
-0.3408,-0.9263,0.2776
-0.3611,-0.9043,0.3005
-0.354,-0.9104,0.2778
-0.3542,-0.9226,0.2798
-0.3398,-0.9094,0.2754
-0.3286,-0.9109,0.2773
-0.3159,-0.9128,0.2627
-0.3252,-0.9126,0.2532
-0.3152,-0.9128,0.2693
-0.325,-0.9009,0.2688
-0.3291,-0.9023,0.2654
-0.3298,-0.9128,0.2764
-0.3398,-0.9106,0.2769
-0.3433,-0.9087,0.2725
-0.3403,-0.9087,0.2607
-0.3542,-0.908,0.283
-0.3643,-0.9204,0.2717
-0.3447,-0.9114,0.2961
-0.3474,-0.9255,0.2764
-0.3347,-0.9067,0.2766
-0.335,-0.9121,0.2783
-0.3496,-0.9243,0.2822
-0.3408,-0.9189,0.271
-0.3535,-0.9072,0.2786
-0.3386,-0.894,0.2803
-0.323,-0.8914,0.2725
-0.3511,-0.925,0.2769
-0.3213,-0.9114,0.2964
-0.3433,-0.8992,0.2896
-0.3267,-0.9141,0.2859
-0.3513,-0.8989,0.2922
-0.334,-0.9055,0.2834
-0.3303,-0.9082,0.2812
-0.3262,-0.8901,0.272
-0.3357,-0.9128,0.2786
-0.3384,-0.9148,0.2791
-0.3284,-0.9026,0.2666
-0.3447,-0.9084,0.2832
-0.3623,-0.9033,0.2605
-0.3533,-0.9194,0.2898
-0.3518,-0.9026,0.2888
-0.3359,-0.8999,0.2671
-0.3394,-0.9033,0.2683
-0.3552,-0.9058,0.2727
-0.3286,-0.9067,0.2769
-0.3591,-0.9089,0.2788
-0.3521,-0.9131,0.2893
-0.3499,-0.9163,0.2708
-0.334,-0.9167,0.2798
-0.3474,-0.9065,0.2722
-0.3496,-0.9114,0.2876
-0.3481,-0.9089,0.2654
-0.3364,-0.9067,0.2607
-0.3555,-0.9067,0.2673
-0.3518,-0.9155,0.27
-0.3608,-0.9121,0.2834
-0.3562,-0.9001,0.2732
-0.3567,-0.9072,0.2661
-0.3489,-0.9185,0.2729
-0.3508,-0.9062,0.2935
-0.3481,-0.9187,0.2695
-0.3586,-0.9072,0.2756
-0.3523,-0.9119,0.2756
-0.3403,-0.9243,0.2744
-0.3474,-0.9097,0.2661
-0.3499,-0.9177,0.2615
-0.3398,-0.9136,0.2688
-0.3665,-0.9082,0.2678
-0.3564,-0.9014,0.2688
-0.363,-0.9084,0.2761
-0.3843,-0.9111,0.2722
-0.3472,-0.915,0.2771
-0.3555,-0.9041,0.2744
-0.3484,-0.9006,0.2646
-0.3552,-0.9224,0.2742
-0.3523,-0.8955,0.2693
-0.3418,-0.9192,0.2749
-0.3328,-0.9238,0.2705
-0.353,-0.9072,0.2773
-0.3469,-0.9192,0.2698
-0.3508,-0.905,0.2788
-0.3545,-0.9104,0.2712
-0.3579,-0.8992,0.2798
-0.3687,-0.9092,0.2754
-0.354,-0.9067,0.2676
-0.3555,-0.8979,0.2639
-0.3542,-0.9062,0.2815
-0.3499,-0.9172,0.2812
-0.3552,-0.8955,0.2715
-0.3479,-0.9197,0.2705
-0.3579,-0.9055,0.2698
-0.3335,-0.9187,0.2712
-0.3564,-0.9026,0.2778
-0.3528,-0.8975,0.2795
-0.3547,-0.9053,0.2751
-0.3452,-0.9009,0.2761
-0.3718,-0.9102,0.2793
-0.3477,-0.8987,0.2712
-0.3555,-0.9058,0.2666
-0.3555,-0.9043,0.2759
-0.3538,-0.9131,0.2834
-0.3428,-0.9055,0.2832
-0.3574,-0.9136,0.2903
-0.3542,-0.9072,0.2976
-0.3459,-0.9031,0.2815
-0.3452,-0.9194,0.2847
-0.356,-0.9106,0.2803
-0.3528,-0.9104,0.2786
-0.3484,-0.9072,0.2878
-0.3501,-0.9099,0.2878
-0.3396,-0.9158,0.29
-0.3474,-0.9016,0.2859
-0.3384,-0.9001,0.2683
-0.3442,-0.916,0.2764
-0.3589,-0.9055,0.2834
-0.3647,-0.9109,0.2781
-0.3508,-0.9065,0.2783
-0.3486,-0.9026,0.2754
-0.3569,-0.9055,0.2942
-0.3418,-0.9072,0.2842
-0.3582,-0.8979,0.2866
-0.3389,-0.9114,0.2842
-0.3423,-0.9009,0.2708
-0.3416,-0.908,0.2839
-0.3401,-0.9004,0.2598
-0.3521,-0.8977,0.2954
-0.3523,-0.9177,0.2729
-0.3582,-0.9065,0.2844
-0.3528,-0.8967,0.2786
-0.3513,-0.9055,0.271
-0.3538,-0.9004,0.2705
-0.3623,-0.908,0.2798
-0.3572,-0.9048,0.2793
-0.3508,-0.9136,0.2681
-0.3591,-0.8958,0.2822
-0.3621,-0.9087,0.2839
-0.3428,-0.8987,0.2703
-0.356,-0.9006,0.2744
-0.3489,-0.9062,0.2773
-0.3699,-0.9062,0.2827
-0.3699,-0.9182,0.2788
-0.3567,-0.9131,0.2935
-0.3569,-0.8984,0.3059
-0.3442,-0.8921,0.282
-0.3533,-0.9058,0.28
-0.3459,-0.9055,0.2637
-0.3364,-0.8916,0.2703
-0.3428,-0.9038,0.2688
-0.3474,-0.9146,0.2856
-0.3564,-0.8997,0.2708
-0.3555,-0.9111,0.2961
-0.3604,-0.9023,0.3013
-0.3567,-0.9138,0.2812
-0.3594,-0.9116,0.3032
-0.3401,-0.9033,0.2566
-0.3401,-0.9048,0.2844
-0.3608,-0.9209,0.2766
-0.3418,-0.9092,0.2913
-0.3503,-0.9097,0.2886
-0.3674,-0.9062,0.283
-0.3394,-0.8933,0.2942
-0.3357,-0.8972,0.2712
-0.3591,-0.897,0.2666
-0.3423,-0.8992,0.2766
-0.3391,-0.9075,0.2961
-0.3655,-0.9016,0.2808
-0.3545,-0.9102,0.2949
-0.3569,-0.9062,0.269
-0.3596,-0.8962,0.2888
-0.3484,-0.9009,0.2791
-0.3474,-0.9097,0.2805
-0.3525,-0.9143,0.2937
-0.3401,-0.9192,0.2935
-0.3347,-0.8938,0.2874
-0.3315,-0.8982,0.2805
-0.3499,-0.9143,0.269
-0.3687,-0.8936,0.2922
-0.3569,-0.9019,0.2866
-0.3533,-0.9089,0.281
-0.3748,-0.8892,0.2888
-0.3689,-0.9094,0.2927
-0.3638,-0.8979,0.2898
-0.3735,-0.8975,0.2866
-0.3501,-0.9272,0.2847
-0.3467,-0.896,0.2822
-0.3325,-0.9116,0.2776
-0.3325,-0.9045,0.2947
-0.3352,-0.9102,0.2876
-0.3435,-0.9106,0.2888
-0.3494,-0.8989,0.29
-0.3557,-0.9089,0.2812
-0.3616,-0.9194,0.2842
-0.3555,-0.918,0.2773
-0.3572,-0.8987,0.2622
-0.3506,-0.9106,0.2627
-0.3638,-0.915,0.2913
-0.353,-0.9043,0.2773
-0.3406,-0.9021,0.2795
-0.3638,-0.8965,0.2834
-0.3479,-0.9089,0.291
-0.3625,-0.9031,0.2737
-0.3528,-0.9023,0.271
-0.3618,-0.9138,0.2725
-0.3567,-0.9109,0.2856
-0.3467,-0.9001,0.2749
-0.3635,-0.9153,0.272
-0.3584,-0.9158,0.2996
-0.3408,-0.9009,0.2886
-0.3525,-0.9097,0.2808
-0.3499,-0.9082,0.2905
-0.3464,-0.9048,0.2891
-0.3506,-0.908,0.2808
-0.3518,-0.9099,0.2798
-0.3523,-0.9014,0.2825
-0.3528,-0.9019,0.2783
-0.3643,-0.9023,0.2693
-0.3547,-0.9131,0.2722
-0.3511,-0.9041,0.2734
-0.3596,-0.905,0.281
-0.365,-0.9114,0.2808
-0.3486,-0.9182,0.2864
-0.3511,-0.9089,0.2859
-0.3477,-0.9048,0.2983
-0.3589,-0.9185,0.29
-0.3601,-0.9048,0.2737
-0.3484,-0.9053,0.2722
-0.3579,-0.9038,0.2722
-0.3496,-0.894,0.2778
-0.3511,-0.9136,0.2756
-0.3486,-0.916,0.2825
-0.3633,-0.907,0.2903
-0.3335,-0.9016,0.2822
-0.363,-0.9058,0.2886
-0.344,-0.9128,0.2903
-0.3513,-0.906,0.2751
-0.3521,-0.8982,0.2864
-0.3435,-0.9075,0.2793
-0.3591,-0.9116,0.2705
-0.3555,-0.9126,0.2815
-0.3662,-0.9041,0.2756
-0.3613,-0.9028,0.2749
-0.334,-0.9041,0.2742
-0.3364,-0.9099,0.2732
-0.3606,-0.8989,0.2717
-0.3411,-0.9109,0.3018
-0.3481,-0.9143,0.3027
-0.3618,-0.9019,0.2988
-0.3562,-0.906,0.2849
-0.3574,-0.9058,0.2649
-0.3665,-0.9094,0.2793
-0.3528,-0.9067,0.2759
-0.3599,-0.915,0.271
-0.3621,-0.9121,0.2783
-0.3521,-0.9111,0.2847
-0.3364,-0.9053,0.2983
-0.3511,-0.9094,0.2778
-0.3474,-0.9075,0.2795
-0.3403,-0.905,0.2861
-0.3516,-0.9141,0.2783
-0.3684,-0.9114,0.2822
-0.3755,-0.9153,0.2876
-0.3545,-0.9021,0.2695
-0.3374,-0.9099,0.2605
-0.3247,-0.8987,0.2646
-0.3188,-0.9033,0.2583
-0.3552,-0.8848,0.2668
-0.3354,-0.8809,0.251
-0.4031,-0.8601,0.2756
-0.3701,-0.8723,0.3223
-0.4363,-0.8621,0.3696
-0.5334,-0.8835,0.4124
-0.6094,-0.9624,0.4136
-0.5623,-0.9915,0.3938
-0.5081,-0.9404,0.3394
-0.448,-0.8484,0.2393
-0.415,-0.8176,0.1282
-0.3745,-0.8958,0.0146
-0.2478,-0.9131,-0.0762
-0.2366,-0.978,-0.0962
-0.2397,-0.9451,-0.0598
-0.2576,-0.9641,-0.0156
-0.2998,-1.0439,0.0588
-0.312,-1.187,0.1409
-0.3738,-1.2598,0.1797
-0.478,-1.0583,0.301
-0.5942,-0.9993,0.5527
-0.3638,-0.9277,0.6069
-0.1538,-0.8057,0.5901
-0.4802,-0.6602,0.5095
-0.5325,-0.6602,0.501
-0.4622,-0.8,0.4299
-0.3926,-0.8926,0.3972
-0.5493,-1.0901,0.3203
-0.4011,-1.3342,0.3352
-0.4509,-1.3542,0.2036
-0.2629,-1.303,0.0503
-0.0315,-1.2363,-0.1069
-0.0601,-1.0566,-0.1868
-0.1414,-0.7053,-0.2073
-0.1877,-0.7637,-0.1111
-0.1604,-0.8916,-0.0146
-0.3103,-0.9761,0.0073
-0.3547,-1.0454,0.1655
-0.3674,-1.1318,0.1575
-0.3225,-1.28,0.1848
-0.374,-1.2034,0.2009
-0.4958,-0.8469,0.3486
-0.4675,-0.8616,0.5
-0.2913,-0.9368,0.4861
-0.3835,-0.8657,0.4998
-0.481,-0.7505,0.4751
-0.4985,-0.74,0.49
-0.4956,-0.8418,0.4155
-0.5234,-0.9744,0.4041
-0.4453,-1.1399,0.3557
-0.4751,-1.5305,0.1631
-0.1914,-1.1968,-0.032
0.032,-1.1301,-0.1621
-0.0044,-1.0491,-0.2544
-0.0596,-0.9094,-0.2334
-0.0308,-0.9304,-0.1306
-0.0718,-0.9702,-0.0684
-0.1804,-1.0139,-0.0037
-0.2739,-1.1228,0.0693
-0.3274,-1.2351,0.1279
-0.3245,-1.2856,0.1873
-0.3123,-1.3857,0.1248
-0.3315,-0.7488,0.2866
-0.3433,-0.8455,0.5132
-0.2688,-0.8967,0.3555
-0.2627,-0.8157,0.4407
-0.4104,-0.6931,0.4104
-0.4973,-0.7263,0.4033
-0.4773,-0.8364,0.3818
-0.478,-1.0256,0.4182
-0.4285,-1.2056,0.3997
-0.3618,-1.4075,0.3086
-0.3254,-1.1299,0.1797
-0.1948,-1.3735,-0.0156
-0.1204,-1.2234,-0.1396
-0.0886,-0.9614,-0.1948
-0.1292,-0.7278,-0.1675
-0.1392,-0.8477,-0.1138
-0.1538,-0.949,-0.0732
-0.2466,-1.0386,0.0156
-0.3308,-1.0923,0.1165
-0.3606,-1.1714,0.1565
-0.3752,-1.2515,0.1594
-0.4678,-0.8499,0.2876
-0.5557,-1.0542,0.5608
-0.4116,-1.0486,0.4768
-0.2229,-0.8989,0.5251
-0.4299,-0.7749,0.499
-0.446,-0.7549,0.4856
-0.3953,-0.7744,0.4556
-0.4441,-0.8838,0.3962
-0.3972,-0.9512,0.3853
-0.3901,-1.1831,0.3489
-0.3655,-1.1697,0.2568
-0.3462,-1.1121,0.1536
-0.2234,-1.3232,0.0249
-0.1335,-1.1299,-0.1084
-0.1472,-0.9087,-0.1655
-0.1538,-0.7642,-0.1196
-0.1357,-0.8628,-0.1094
-0.1741,-0.948,-0.0793
-0.2449,-1.0649,-0.0063
-0.3267,-1.1594,0.0933
-0.3367,-1.2461,0.1453
-0.3455,-1.2151,0.2246
-0.333,-0.718,0.3418
-0.3098,-0.9963,0.5039
-0.2498,-1.1223,0.4067
-0.2578,-0.9712,0.4595
-0.4287,-0.759,0.457
-0.5105,-0.6865,0.4377
-0.4736,-0.824,0.4778
-0.4629,-0.8828,0.4302
-0.4209,-1.0684,0.4263
-0.4038,-1.354,0.3325
-0.3838,-1.1018,0.1677
-0.1848,-1.2212,0.0503
-0.1528,-1.2761,-0.0564
-0.1147,-1.0278,-0.1548
-0.1443,-0.8621,-0.1885
-0.1606,-0.8845,-0.1301
-0.1738,-0.9644,-0.1028
-0.2256,-1.0222,-0.0332
-0.2798,-1.0979,0.0432
-0.3223,-1.1467,0.127
-0.3115,-1.3828,0.0957
-0.322,-0.95,0.1846
-0.4219,-0.7297,0.4282
-0.3313,-0.9026,0.5149
-0.2266,-1.0618,0.4136
-0.2405,-0.9297,0.5867
-0.4224,-0.7788,0.5391
-0.5073,-0.7441,0.4927
-0.4172,-0.8716,0.4722
-0.3792,-0.9319,0.4329
-0.3923,-1.0745,0.3953
-0.4014,-1.4468,0.3225
-0.333,-1.0378,0.1946
-0.1809,-1.2092,0.0632
-0.1355,-1.2495,-0.0491
-0.1277,-1.0588,-0.1755
-0.1882,-0.8191,-0.1431
-0.2085,-0.7949,-0.1118
-0.1973,-0.9285,-0.0969
-0.2332,-1.0596,-0.03
-0.291,-1.1113,0.0781
-0.2861,-1.1914,0.1208
-0.2791,-1.2869,0.1287
-0.3926,-0.7927,0.2441
-0.4971,-0.9458,0.5918
-0.2849,-1.0195,0.5308
-0.0879,-1.0024,0.5784
-0.3113,-0.8167,0.5652
-0.458,-0.7256,0.51
-0.4944,-0.8093,0.4932
-0.4692,-0.946,0.4614
-0.3687,-1.1677,0.459
-0.365,-1.3159,0.3298
-0.3647,-1.0769,0.2019
-0.2415,-1.2324,0.063
-0.1997,-1.2195,-0.0298
-0.1746,-1.043,-0.1274
-0.2056,-0.7825,-0.1433
-0.1914,-0.8213,-0.116
-0.1379,-0.9038,-0.1406
-0.2075,-1.0105,-0.0603
-0.2996,-1.0898,0.0464
-0.3069,-1.1594,0.1035
-0.3196,-1.269,0.1641
-0.3147,-1.3125,0.2336
-0.3586,-0.8367,0.3342
-0.3845,-0.8455,0.509
-0.2532,-1.0354,0.4861
-0.2224,-1.0208,0.4673
-0.377,-0.8176,0.4846
-0.4409,-0.7192,0.4785
-0.4241,-0.8027,0.4729
-0.4109,-0.8684,0.4263
-0.425,-0.981,0.4104
-0.4153,-1.0178,0.3767
-0.3816,-1.2749,0.3472
-0.3269,-1.0354,0.2405
-0.3306,-1.1707,0.1355
-0.2769,-1.3376,-0.0205
-0.1958,-1.0422,-0.0815
-0.1948,-0.8511,-0.1387
-0.2119,-0.8325,-0.1113
-0.1738,-0.9321,-0.1196
-0.1885,-1.0078,-0.0962
-0.2375,-1.0962,-0.0068
-0.3132,-1.2427,0.0781
-0.3169,-1.3433,0.1287
-0.3157,-1.2332,0.1458
-0.4377,-0.907,0.3684
-0.5354,-0.9338,0.6572
-0.5784,-0.791,0.5371
-0.3276,-0.8625,0.6606
-0.5088,-0.8337,0.6296
-0.5974,-0.8047,0.5649
-0.5513,-0.9021,0.4917
-0.4568,-1.064,0.3923
-0.3513,-1.1545,0.2969
-0.3928,-1.2246,0.2241
-0.4482,-1.5984,0.1523
-0.4211,-1.3533,0.0269
-0.1724,-1.2927,-0.0969
-0.0222,-0.9531,-0.1626
-0.1272,-0.6506,-0.1072
-0.146,-0.6365,-0.0947
-0.199,-0.8833,-0.0332
-0.2346,-1.0347,0.001
-0.3345,-1.2009,0.1069
-0.3848,-1.301,0.1785
-0.4216,-1.4067,0.1926
-0.447,-1.3601,0.2173
-0.4458,-0.9478,0.405
-0.5161,-0.9792,0.5344
-0.4272,-0.9133,0.4866
-0.385,-0.741,0.429
-0.4858,-0.6467,0.4565
-0.49,-0.7227,0.4507
-0.5259,-0.8738,0.4597
-0.5103,-1.0183,0.4238
-0.4419,-1.1831,0.4004
-0.3923,-1.1836,0.3357
-0.334,-1.3496,0.2693
-0.3481,-1.3079,0.1953
-0.3101,-1.2617,0.0703
-0.1965,-1.1709,-0.0142
-0.2141,-0.9526,-0.0605
-0.24,-0.7156,-0.0674
-0.2266,-0.748,-0.0579
-0.1726,-0.8323,-0.0364
-0.175,-0.9695,0.0073
-0.2351,-1.134,0.0737
-0.3188,-1.2983,0.105
-0.3606,-1.4441,0.0693
-0.4451,-1.1584,0.2268
-0.55,-1.0603,0.5476
-0.4624,-1.0425,0.5369
-0.3325,-0.9377,0.5056
-0.3562,-0.8264,0.5505
-0.5325,-0.6873,0.4893
-0.5803,-0.7136,0.4851
-0.5293,-0.8657,0.4475
-0.4631,-1.0061,0.4355
-0.4338,-1.2712,0.4048
-0.3906,-1.4248,0.2458
-0.3298,-1.3491,0.0864
-0.2444,-1.4951,-0.03
-0.2078,-1.3677,-0.0811
-0.2219,-1.0581,-0.1938
-0.1147,-0.7776,-0.1641
-0.0305,-0.8176,-0.1357
-0.0588,-0.8628,-0.1187
-0.1384,-1.0068,-0.0244
-0.2122,-1.2114,0.0303
-0.3096,-1.3799,0.0317
-0.4285,-1.1287,0.2441
-0.5503,-1.1101,0.5305
-0.5222,-1.2312,0.5278
-0.3335,-1.0459,0.5396
-0.4595,-0.844,0.5918
-0.5225,-0.6956,0.5139
-0.4148,-0.7625,0.5352
-0.4468,-0.8601,0.5269
-0.4636,-1.0212,0.4431
-0.4058,-1.1353,0.4563
-0.3455,-1.3755,0.3804
-0.3843,-1.2786,0.1743
-0.3774,-1.1643,0.0874
-0.2283,-1.3293,-0.0457
-0.1606,-1.1653,-0.1499
-0.175,-0.8674,-0.156
-0.198,-0.6748,-0.1221
-0.21,-0.7988,-0.1106
-0.3252,-0.9438,-0.1016
-0.1509,-1.0615,0.0444
-0.2102,-1.2183,0.1936
-0.2593,-1.3857,0.1646
-0.4062,-1.2595,0.2002
-0.4768,-1.0674,0.5779
-0.5691,-0.998,0.6804
-0.3503,-1.0205,0.5122
-0.175,-0.9026,0.6018
-0.4404,-0.7549,0.5085
-0.5752,-0.7034,0.5137
-0.5103,-0.8215,0.4622
-0.4355,-1.0024,0.4468
-0.3533,-1.1626,0.4282
-0.3584,-1.3716,0.3835
-0.3328,-1.2278,0.2502
-0.3232,-1.1677,0.1362
-0.2646,-1.301,0.0444
-0.207,-1.217,-0.0574
-0.1765,-0.8643,-0.1125
-0.1743,-0.624,-0.0449
-0.2188,-0.6812,-0.022
-0.2407,-0.8154,0.0198
-0.3101,-0.9744,0.0688
-0.4546,-1.1421,0.1748
-0.4907,-1.2549,0.1943
-0.5293,-1.4636,0.1919
-0.5437,-0.8965,0.3811
-0.5669,-0.7781,0.6316
-0.6672,-1.0276,0.4941
-0.3757,-1.0012,0.5151
-0.3948,-0.8738,0.4717
-0.407,-0.8513,0.3552
-0.335,-0.9312,0.3279
-0.2227,-0.9934,0.2668
-0.1863,-1.0083,0.2261
-0.1775,-1.0042,0.1602
-0.1404,-0.9465,0.1792
-0.1682,-0.9075,0.1902
-0.2004,-0.9084,0.1875
-0.2505,-0.908,0.196
-0.2834,-0.925,0.2
-0.3284,-0.9507,0.2283
-0.334,-0.9526,0.2627
-0.3301,-0.9563,0.2732
-0.3313,-0.9661,0.2754
-0.3384,-0.9524,0.2678
-0.3411,-0.9497,0.2695
-0.3315,-0.9351,0.2366
-0.3206,-0.9229,0.2166
-0.3047,-0.9287,0.2075
-0.3003,-0.9216,0.2285
-0.3127,-0.915,0.2246
-0.3098,-0.9158,0.2456
-0.302,-0.9336,0.2639
-0.3169,-0.9351,0.2568
-0.3315,-0.9226,0.2754
-0.3665,-0.9463,0.2732
-0.3555,-0.9309,0.2573
-0.3767,-0.9434,0.2732
-0.5698,-0.9963,0.3203
-0.9224,-1.0688,0.3303
-0.8103,-1.1421,0.4431
-0.677,-1.0901,0.5779
-0.5718,-0.9197,0.5789
-0.2957,-0.8123,0.6384
-0.1155,-0.666,0.675
-0.0886,-0.5652,0.7454
0.1028,-0.4248,0.7305
0.0757,-0.3906,0.7812
0.2271,-0.2976,0.7942
0.3167,-0.1919,0.7551
0.2354,-0.1934,0.8413
0.3018,-0.1409,0.8223
0.3386,-0.1406,0.8513
0.4111,-0.1104,0.8926
0.5981,-0.27,0.75
0.2734,-0.012,0.9578
0.4062,-0.0002,0.9834
0.3921,0.0247,0.9946
0.3721,-0.0508,1.0098
0.3904,-0.0586,1.0076
0.2869,-0.043,1.0107
0.3054,-0.0605,1.0356
0.2791,-0.0637,1.0066
0.3101,-0.0889,1.0281
0.2791,-0.0723,1.0015
0.2568,-0.0261,1.0178
0.2646,-0.0571,0.9988
0.2805,-0.0359,1.0139
0.249,-0.0635,1.0295
